time,Forca (N),Deslocamento (mm)
69708,2.2279929999999997,0.0
69718,2.2176299999999998,0.0
69728,2.2176299999999998,0.0
69738,2.2176299999999998,0.0
69748,2.2176299999999998,0.0
69758,2.2176299999999998,0.0
69768,2.2176299999999998,0.0
69778,2.2176299999999998,0.0
69788,2.2176299999999998,0.0
69798,2.207267,0.0
69808,2.207267,0.0
69818,2.207267,0.0
69828,2.207267,0.0
69838,2.2176299999999998,0.0
69848,2.207267,0.0
69858,2.207267,0.0
69868,2.207267,0.0
69878,2.207267,0.0
69888,2.2176299999999998,0.0
69898,2.2176299999999998,0.0
69908,2.2176299999999998,0.0
69918,2.2176299999999998,0.0
69928,2.2176299999999998,0.0
69938,2.2176299999999998,0.0
69948,2.2176299999999998,0.0
69958,2.2176299999999998,0.0
69968,2.2176299999999998,0.0
69978,2.2176299999999998,0.0
69988,2.2176299999999998,0.0
69998,2.2176299999999998,0.0
70008,2.2176299999999998,0.0
70018,2.2176299999999998,0.0
70028,2.207267,0.0
70038,2.207267,0.0
70048,2.2176299999999998,0.0
70058,2.2176299999999998,0.0
70068,2.2176299999999998,0.0
70078,2.2176299999999998,0.0
70088,2.2176299999999998,0.0
70098,2.2176299999999998,0.0
70108,2.2176299999999998,0.0
70118,2.2176299999999998,0.0
70128,2.2176299999999998,0.0
70138,2.2176299999999998,0.0
70148,2.2176299999999998,0.0
70158,2.2176299999999998,0.0
70168,2.207267,0.0
70178,2.2176299999999998,0.0
70188,2.2176299999999998,0.0
70198,2.2176299999999998,0.0
70208,2.2176299999999998,0.0
70218,2.2176299999999998,0.0
70228,2.2176299999999998,0.0
70238,2.2176299999999998,0.0
70248,2.2176299999999998,0.0
70258,2.2176299999999998,0.0
70268,2.2176299999999998,0.0
70278,2.2176299999999998,0.0
70288,2.2176299999999998,0.0
70298,2.2176299999999998,0.0
70308,2.2176299999999998,0.0
70318,2.2176299999999998,0.0
70328,2.2176299999999998,0.0
70338,2.2176299999999998,0.0
70348,2.2279929999999997,0.0
70358,2.2279929999999997,0.0
70368,2.2279929999999997,0.0
70378,2.2176299999999998,0.0
70388,2.2176299999999998,0.0
70398,2.2176299999999998,0.0
70408,2.2176299999999998,0.0
70418,2.2176299999999998,0.0
70428,2.2176299999999998,0.0
70438,2.2176299999999998,0.0
70448,2.2176299999999998,0.0
70458,2.2176299999999998,0.0
70468,2.2176299999999998,0.0
70478,2.2176299999999998,0.0
70488,2.2176299999999998,0.0
70498,2.2176299999999998,0.0
70508,2.2176299999999998,0.0
70518,2.2176299999999998,0.0
70528,2.2176299999999998,0.0
70538,2.2176299999999998,0.0
70548,2.2176299999999998,0.0
70558,2.2176299999999998,0.0
70568,2.2176299999999998,0.0
70578,2.2176299999999998,0.0
70588,2.2176299999999998,0.0
70598,2.2176299999999998,0.0
70608,2.2176299999999998,0.0
70618,2.2279929999999997,0.0
70628,2.2176299999999998,0.0
70638,2.2279929999999997,0.0
70648,2.2279929999999997,0.0
70658,2.2279929999999997,0.0
70668,2.2279929999999997,0.0
70678,2.2279929999999997,0.0
70688,2.2176299999999998,0.0
70698,2.2176299999999998,0.0
70708,2.2176299999999998,0.0
70718,2.2279929999999997,0.0
70728,2.2176299999999998,0.0
70738,2.2176299999999998,0.0
70748,2.2176299999999998,0.0
70758,2.2176299999999998,0.0
70768,2.2176299999999998,0.0
70778,2.2279929999999997,0.0
70788,2.2176299999999998,0.0
70798,2.2176299999999998,0.0
70808,2.2279929999999997,0.0
70818,2.2176299999999998,0.0
70828,2.2279929999999997,0.0
70838,2.2279929999999997,0.0
70848,2.2279929999999997,0.0
70858,2.2176299999999998,0.0
70868,2.2279929999999997,0.0
70878,2.2176299999999998,0.0
70888,2.2279929999999997,0.0
70898,2.2279929999999997,0.0
70908,2.2279929999999997,0.0
70918,2.2279929999999997,0.0
70928,2.2279929999999997,0.0
70938,2.2279929999999997,0.0
70948,2.2279929999999997,0.0
70958,2.2279929999999997,0.0
70968,2.2279929999999997,0.0
70978,2.2279929999999997,0.0
70988,2.2279929999999997,0.0
70998,2.2279929999999997,0.0
71008,2.2279929999999997,0.0
71018,2.2279929999999997,0.0
71028,2.2279929999999997,0.0
71038,2.2279929999999997,0.0
71048,2.2279929999999997,0.0
71058,2.2279929999999997,0.0
71068,2.2279929999999997,0.0
71078,2.2279929999999997,0.0
71088,2.2176299999999998,0.0
71098,2.2176299999999998,0.0
71108,2.2176299999999998,0.0
71118,2.2176299999999998,0.0
71128,2.2176299999999998,0.0
71138,2.2176299999999998,0.0
71148,2.2176299999999998,0.0
